Threshold,Precision,Recall
0.003686065343707556,0.16958333333333334,1.0
0.0036913485220051684,0.16965402250937892,1.0
0.0036933998818057118,0.16972477064220184,1.0
0.0036972594714987507,0.16979557780559032,1.0
0.003734498135859551,0.16986644407345575,1.0
0.003742706916946932,0.169937369519833,1.0
0.0037450739688950217,0.17000835421888053,1.0
0.003750217192799896,0.1700793982448809,1.0
0.003754735417878642,0.1701505016722408,1.0
0.003760537920417429,0.17029288702928871,1.0
0.0037677051891799864,0.1704355108877722,1.0
0.003770129692494332,0.17050691244239632,1.0
0.0037819553953241697,0.17057837384744343,1.0
0.003786781663810556,0.17064989517819706,1.0
0.003789099369804151,0.1707214765100671,1.0
0.0037918866646126717,0.17079311791859,1.0
0.003806082266387291,0.17086481947942905,1.0
0.0038197171195292253,0.17093658126837463,1.0
